drug,info
Abilify,"Abilify (aripiprazole) is an antipsychotic medication. It works by changing the actions of chemicals in the brain. Abilify is used to treat the symptoms of psychotic conditions such as schizophrenia and bipolar I disorder (manic depression). It is not known if aripiprazole is safe or effective in children younger than 13 with schizophrenia, or children younger than 10 with bipolar disorder. Abilify is also used together with other medicines to treat major depressive disorder in adults. Abilify is also used in children 6 years or older who have Tourettes disorder, or symptoms of autistic disorder (irritability, aggression, mood swings, temper tantrums, and self-injury)."
Acetaminophen,"Acetaminophen is also found in many prescription combination drugs, including Butalbital, Endocet, Fioricet, Hycotab, Hydrocet, Hydrocodone bitartrate, Lortab, Percocet, Phenaphen, Sedapap, Tapanol, Tylenol with codeine, Tylox, Ultracet, Vicodin, and Zydone. Medically reviewed by Kaci Durbin, MD Last updated on Dec 29, 2018.nAcetaminophen is a pain reliever and a fever reducer. Acetaminophen is used to treat mild to moderate and pain, to treat moderate to severe pain in conjunction with opiates, or to reduce fever. Common conditions that acetaminophen treats include headache, muscle aches, arthritis, backache, toothaches, colds, and fevers."
Adderall,"Adderall contains a combination of amphetamine and dextroamphetamine. Amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control. Adderall is used to treat attention deficit hyperactivity disorder (ADHD) and narcolepsy. Adderall may also be used for purposes not listed in this medication guide. Adderall may be habit-forming, and this medicine is a drug of abuse. Tell your doctor if you have had problems with drug or alcohol abuse."
Alprazolam,"Alprazolam is a benzodiazepine (ben-zoe-dye-AZE-eh-peen). It affects chemicals in the brain that may be unbalanced in people with anxiety. Alprazolam is used to treat anxiety disorders, panic disorders, and anxiety caused by depression. Alprazolam may also be used for purposes not listed in this medication guide. You should not use alprazolam if you have narrow-angle glaucoma, if you also take itraconazole or ketoconazole, or if you are allergic to alprazolam or similar medicines (Valium, Ativan, Tranxene, and others)."
Ambien,"Ambien (zolpidem) is a sedative, also called a hypnotic. Zolpidem affects chemicals in the brain that may be unbalanced in people with sleep problems insomnia. Ambien is used to treat insomnia. The immediate-release tablet is used to help you fall asleep when you first go to bed. The extended-release form, Ambien CR, which has a first layer that dissolves quickly to help you fall asleep, and a second layer that dissolves slowly to help you stay asleep. Your doctor will determine which form of Ambien is best for you. Ambien may cause a severe allergic reaction. Stop taking this medicine and get emergency medical help if you have any of these signs of an allergic reaction: hives; difficulty breathing; swelling of your face, lips, tongue, or throat."
Amitriptyline,Amitriptyline is a tricyclic antidepressant. Amitriptyline affects chemicals in the brain that may be unbalanced in people with depression. Amitriptyline is used to treat symptoms of depression. Amitriptyline may also be used for purposes not listed in this medication guide. You should not use this medicine if you have recently had a heart attack.
Amlodipine,Amlodipine is a calcium channel blocker that dilates (widens) blood vessels and improves blood flow. Amlodipine is used to treat chest pain (angina) and other conditions caused by coronary artery disease. Amlodipine is also used to treat high blood pressure (hypertension). Lowering blood pressure may lower your risk of a stroke or heart attack. Amlodipine is for use in adults and children who are at least 6 years old.
Amoxicillin,"Amoxicillin is a penicillin antibiotic that fights bacteria. Amoxicillin is used to treat many different types of infection caused by bacteria, such as tonsillitis, bronchitis, pneumonia, and infections of the ear, nose, throat, skin, or urinary tract. Amoxicillin is also sometimes used together with another antibiotic called clarithromycin (Biaxin) to treat stomach ulcers caused by Helicobacter pylori infection. This combination is sometimes used with a stomach acid reducer called lansoprazole (Prevacid). Do not use this medication if you are allergic to amoxicillin or to any other penicillin antibiotic, such as ampicillin (Omnipen, Principen), dicloxacillin (Dycill, Dynapen), oxacillin (Bactocill), penicillin (Beepen-VK, Ledercillin VK, Pen-V, Pen-Vee K, Pfizerpen, V-Cillin K, Veetids), and others."
Ativan,"Ativan (lorazepam) belongs to a group of drugs called benzodiazepines. It affects chemicals in the brain that may be unbalanced in people with anxiety. Ativan is used to treat anxiety disorders and seizure disorders. It is dangerous to purchase Ativan on the Internet or outside the United States. The sale and distribution of medicines outside the U.S. does not comply with safe-use regulations of the Food and Drug Administration (FDA). These medications may contain dangerous ingredients, or may not be distributed by a licensed pharmacy. You should not use Ativan if you have narrow-angle glaucoma, severe respiratory insufficiency, myasthenia gravis, or if you are allergic to Valium or a similar medicine."
Atorvastatin,"Atorvastatin belongs to a group of drugs called HMG CoA reductase inhibitors, or statins. Atorvastatin is used together with diet to lower blood levels of bad cholesterol (low-density lipoprotein, or LDL), to increase levels of good cholesterol (high-density lipoprotein, or HDL), and to lower triglycerides (a type of fat in the blood). Atorvastatin is used to treat high cholesterol, and to lower the risk of stroke, heart attack, or other heart complications in people with type 2 diabetes, coronary heart disease, or other risk factors. Atorvastatin is used in adults and children who are at least 10 years old."
